docSeqNo,name,measure,calcium
178,"Tomato products, canned, puree, without salt added","1.0 cups",45
179,"Soup, beef and vegetables, canned, ready-to-serve","1.0 cups",45
180,"Beet greens, raw","1.0 cups",44
181,"Beets, canned, regular pack, solids and liquids","1.0 cups",44
182,"Puddings, chocolate, ready-to-eat, fat free","1.0 serving 4 oz",44
183,"Blackberries, frozen, unsweetened","1.0 cups, unthawed",44
184,"Sweet potato, cooked, baked in skin, flesh, with salt","1.0 medium",43
185,"Broccoli raab, raw","1.0 cups chopped",43
186,"Peas, mature seeds, sprouted, raw","1.0 cups",43
187,"Bread, cheese","1.0 slice",43
188,"Fish, yellowtail, mixed species, cooked, dry heat","0.5 fillet",42
189,"Seeds, sesame flour, low-fat","1.0 oz",42
190,"Carrots, raw","1.0 cups chopped",42
191,"Sausage, pork and turkey, pre-cooked","1.0 serving",42
192,"Peas, edible-podded, raw","1.0 cups, chopped",42
193,"Cake, angelfood, dry mix, prepared","1.0 piece",42
194,"Tomato products, canned, sauce, with onions","1.0 cups",42
195,"Cress, garden, raw","1.0 cups",40
196,"Bread, salvadoran sweet cheese","1.0 serving",40
197,"Parmesan cheese topping, fat free","1.0 tablespoon",40
198,"Chocolate-flavored hazelnut spread","1.0 serving 2 TBSP",40
199,"Soup, cream of celery, canned, prepared with equal volume water","1.0 cups",40
200,"Cream puff, eclair, custard or cream filled, iced","4.0 oz",40
201,"Cake, angelfood, commercially prepared","1.0 piece",39
202,"Nuts, chestnuts, european, raw, unpeeled","1.0 cups",39
203,"Fish, salmon, coho, wild, cooked, moist heat","3.0 oz",39
204,"Cowpeas (blackeyes), immature seeds, frozen, cooked","1.0 cups",39
205,"Mollusks, mussel, blue, raw","1.0 cups",39
206,"Asparagus, canned, drained solids","1.0 cups",39
207,"Peaches, dehydrated (low-moisture), sulfured, stewed","1.0 cups",39
208,"Squash, summer, zucchini, italian style, canned","1.0 cups",39
209,"Cake, coffeecake, cinnamon with crumb topping, dry mix, prepared","1.0 oz",39
210,"Lima beans, immature seeds, frozen, fordhook, unprepared","1.0 cups",38
211,"Squash, summer, crookneck and straightneck, frozen, cooked","1.0 cups slices",38
212,"Loganberries, frozen","1.0 cups, unthawed",38
213,"Carrots, canned, no salt added, solids and liquids","0.5 cups slices",38
214,"Gooseberries, raw","1.0 cups",38
215,"Breadfruit, raw","1.0 cups",37
216,"Mollusks, oyster, eastern, farmed, raw","3.0 oz",37
217,"Grapefruit, sections, canned, juice pack, solids and liquids","1.0 cups",37
218,"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained","1.0 leek",37
219,"Brussels sprouts, raw","1.0 cups",37
220,"Currants, red and white, raw","1.0 cups",37
221,"Onions, raw","1.0 cups, chopped",37
222,"Grapefruit, sections, canned, water pack, solids and liquids","1.0 cups",37
223,"Carrots, canned, regular pack, drained solids","1.0 cups, sliced",36
224,"Crackers, standard snack-type, sandwich, with cheese filling","0.5 oz",36
225,"Peas, green, raw","1.0 cups",36
226,"Bread, wheat","1.0 slice",36
227,"Hyacinth-beans, immature seeds, cooked, boiled, drained","1.0 cups",36
228,"Boysenberries, frozen, unsweetened","1.0 cups, unthawed",36
229,"Vegetable juice cocktail, canned","1.0 cups",35
230,"Egg, yolk, raw, frozen, sugared, pasteurized","1.0 oz",35
231,"Bread, protein (includes gluten)","1.0 oz",35
232,"Squash, winter, hubbard, baked, with salt","1.0 cups, cubes",35
233,"Crackers, cheese, sandwich-type with cheese filling","6.0 cracker",35
234,"Grapefruit, raw, white, Florida","1.0 cups sections",34
235,"Onions, frozen, whole, unprepared","0.33 package (10 oz)",34
236,"Fish, trout, mixed species, cooked, dry heat","1.0 fillet",34
237,"Lime juice, raw","1.0 cups",34
238,"Bread, white, commercially prepared, toasted","1.0 oz",34
239,"Soup, pea, split with ham, canned, chunky, ready-to-serve","1.0 cups",34
240,"Sweet potato, canned, syrup pack, drained solids","1.0 cups",33
241,"Cheese, neufchatel","1.0 oz",33
242,"Nuts, mixed nuts, oil roasted, with peanuts, lightly salted","1.0 oz",33
243,"Bread, reduced-calorie, oatmeal","1.0 oz",33
244,"Tomato products, canned, sauce, with onions, green peppers, and celery","1.0 cups",32
245,"Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted","1.0 cups, diced",32
246,"Asparagus, frozen, cooked, boiled, drained, without salt","1.0 cups",32
